iter	Passed	Remaining
749	32966	10988
750	33007	10943
751	33048	10898
752	33089	10854
753	33129	10808
754	33168	10763
755	33213	10719
756	33250	10673
757	33277	10624
758	33300	10573
759	33324	10523
760	33348	10473
761	33371	10423
762	33393	10372
763	33413	10321
764	33434	10270
765	33455	10220
766	33476	10169
767	33494	10118
768	33534	10073
769	33553	10022
770	33573	9971
771	33592	9921
772	33612	9870
773	33635	9821
774	33654	9770
775	33672	9719
776	33702	9672
777	33724	9623
778	33742	9572
779	33761	9522
780	33781	9472
781	33800	9422
782	33817	9372
783	33836	9322
784	33854	9272
785	33872	9222
786	33890	9172
787	33910	9123
788	33930	9073
789	33947	9024
790	33965	8974
791	33984	8925
792	34004	8876
793	34024	8827
794	34043	8778
795	34061	8729
796	34079	8680
797	34095	8630
798	34113	8581
799	34130	8532
800	34146	8483
801	34164	8434
802	34182	8385
803	34200	8337
804	34218	8288
805	34235	8240
806	34253	8191
807	34269	8143
808	34288	8095
809	34305	8046
810	34321	7998
811	34339	7950
812	34356	7902
813	34370	7853
814	34386	7805
815	34401	7757
816	34415	7708
817	34430	7660
818	34446	7612
819	34461	7564
820	34476	7516
821	34492	7469
822	34508	7421
823	34523	7373
824	34536	7325
825	34552	7278
826	34569	7231
827	34584	7184
828	34599	7136
829	34612	7089
830	34628	7042
831	34642	6995
832	34658	6948
833	34674	6901
834	34689	6854
835	34705	6808
836	34721	6761
837	34735	6715
838	34750	6668
839	34765	6621
840	34779	6575
841	34794	6529
842	34808	6482
843	34823	6436
844	34837	6390
845	34852	6344
846	34866	6298
847	34881	6252
848	34896	6206
849	34911	6160
850	34925	6114
851	34941	6069
852	34957	6024
853	34972	5978
854	34987	5933
855	35000	5887
856	35015	5842
857	35031	5797
858	35046	5752
859	35063	5707
860	35077	5662
861	35093	5618
862	35106	5573
863	35120	5528
864	35134	5483
865	35149	5438
866	35163	5394
867	35176	5349
868	35192	5305
869	35205	5260
870	35222	5216
871	35238	5172
872	35256	5128
873	35270	5084
874	35284	5040
875	35298	4996
876	35312	4952
877	35326	4908
878	35341	4864
879	35356	4821
880	35371	4777
881	35385	4734
882	35398	4690
883	35411	4646
884	35425	4603
885	35437	4559
886	35451	4516
887	35466	4473
888	35479	4429
889	35493	4386
890	35508	4343
891	35521	4300
892	35537	4258
893	35552	4215
894	35567	4172
895	35582	4130
896	35597	4087
897	35612	4045
898	35625	4002
899	35640	3960
900	35656	3917
901	35670	3875
902	35684	3833
903	35698	3791
904	35714	3749
905	35728	3706
906	35742	3664
907	35756	3622
908	35771	3581
909	35785	3539
910	35799	3497
911	35814	3455
912	35829	3414
913	35844	3372
914	35858	3331
915	35872	3289
916	35887	3248
917	35899	3206
918	35913	3165
919	35928	3124
920	35942	3083
921	35957	3041
922	35971	3000
923	35984	2959
924	35999	2918
925	36014	2878
926	36029	2837
927	36044	2796
928	36058	2755
929	36072	2715
930	36089	2674
931	36104	2634
932	36120	2593
933	36133	2553
934	36147	2512
935	36164	2472
936	36179	2432
937	36194	2392
938	36208	2352
939	36223	2312
940	36239	2272
941	36256	2232
942	36270	2192
943	36284	2152
944	36297	2112
945	36311	2072
946	36324	2032
947	36340	1993
948	36354	1953
949	36370	1914
950	36384	1874
951	36400	1835
952	36416	1795
953	36430	1756
954	36444	1717
955	36458	1678
956	36473	1638
957	36488	1599
958	36504	1560
959	36519	1521
960	36537	1482
961	36552	1443
962	36569	1405
963	36584	1366
964	36599	1327
965	36615	1288
966	36630	1250
967	36645	1211
968	36659	1172
969	36673	1134
970	36687	1095
971	36701	1057
972	36715	1018
973	36730	980
974	36745	942
975	36761	903
976	36776	865
977	36791	827
978	36806	789
979	36819	751
980	36833	713
981	36848	675
982	36863	637
983	36878	599
984	36893	561
985	36907	524
986	36922	486
987	36937	448
988	36952	410
989	36967	373
990	36981	335
991	36994	298
992	37008	260
993	37022	223
994	37037	186
995	37051	148
996	37064	111
997	37078	74
998	37092	37
999	37106	0
